Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Fraud_indicator,Hour,DayOfWeek,State_code
Car,A-101,Express,Small,120,120,56,0,2,4,KA
Motorcycle,D-105,Regular,Small,0,0,82,0,6,5,KA
Truck,C-103,Express,Large,350,60,70,1,11,6,KA
Van,B-102,Regular,Medium,140,140,97,0,16,0,KA
Sedan,A-101,Express,Medium,160,160,47,0,21,1,KA
SUV,B-102,Regular,Large,180,180,84,0,2,2,KA
Bus ,C-103,Express,Large,350,350,65,0,7,3,KA
Car,A-101,Regular,Small,120,100,92,1,12,4,KA
Motorcycle,D-105,Regular,Small,0,0,53,0,16,5,KA
Truck,C-103,Regular,Large,350,350,79,0,22,6,KA
Van,B-102,Express,Medium,140,140,61,0,3,0,KA
Sedan,A-101,Regular,Medium,160,160,89,0,7,1,KA
SUV,B-102,Express,Large,180,120,44,1,12,2,KA
Bus ,C-103,Regular,Large,350,350,78,0,15,3,KA
Car,A-101,Express,Small,120,120,67,0,21,4,KA
Motorcycle,D-105,Regular,Small,0,0,95,0,2,5,KA
Truck,C-103,Express,Large,350,100,55,1,6,6,KA
Van,B-102,Regular,Medium,140,100,80,1,11,0,KA
Sedan,A-101,Express,Medium,160,90,62,1,15,1,KA
SUV,B-102,Regular,Large,180,180,87,0,20,2,KA
Bus ,C-103,Express,Large,350,350,47,0,1,3,KA
Car,A-101,Regular,Small,120,120,73,0,6,4,KA
Motorcycle,D-105,Regular,Small,0,0,68,0,11,5,KA
Truck,C-103,Regular,Large,350,350,91,0,15,6,KA
Van,B-102,Express,Medium,140,120,52,1,21,0,KA
Sedan,A-101,Regular,Medium,160,120,82,1,3,1,KA
SUV,B-102,Express,Large,180,180,56,0,7,2,KA
Bus ,C-103,Regular,Large,350,350,84,0,12,3,KA
Car,A-101,Express,Small,120,120,69,0,16,4,KA
Motorcycle,D-105,Regular,Small,0,0,94,0,22,5,KA
Truck,C-103,Express,Large,350,180,49,1,4,6,KA
Van,B-102,Regular,Medium,140,100,76,1,8,0,KA
Sedan,A-101,Express,Medium,160,160,63,0,13,1,KA
SUV,B-102,Regular,Large,180,100,88,1,18,2,KA
Bus ,C-103,Express,Large,350,350,74,0,23,3,KA
Car,A-101,Regular,Small,120,120,96,0,5,4,KA
Motorcycle,D-105,Regular,Small,0,0,61,0,9,5,KA
Truck,C-103,Regular,Large,350,100,85,1,14,6,KA
Van,B-102,Express,Medium,140,180,52,1,18,0,KA
Sedan,A-101,Regular,Medium,160,160,79,0,23,1,KA
SUV,B-102,Express,Large,180,180,66,0,3,2,KA
Bus ,C-103,Regular,Large,350,350,90,0,7,3,KA
Car,A-101,Express,Small,120,120,48,0,12,4,KA
Motorcycle,D-105,Regular,Small,0,0,77,0,16,5,KA
Truck,C-103,Express,Large,290,290,60,0,21,6,KA
Van,B-102,Regular,Medium,110,110,83,0,3,0,KA
Sedan,A-101,Express,Medium,100,100,71,0,8,1,KA
SUV,B-102,Regular,Large,130,180,97,1,13,2,KA
Bus ,C-103,Express,Large,290,100,46,1,18,3,KA
Car,A-101,Regular,Small,60,60,81,0,23,4,KA
Motorcycle,D-106,Regular,Small,0,0,64,0,5,5,KA
Truck,C-103,Regular,Large,290,290,93,0,10,6,KA
Van,B-102,Express,Medium,110,110,57,0,14,0,KA
Sedan,A-101,Regular,Medium,100,100,86,0,19,1,KA
SUV,B-102,Express,Large,130,130,87,0,0,2,KA
Bus ,C-103,Regular,Large,290,100,88,1,6,3,KA
Car,A-101,Express,Small,60,60,89,0,11,4,KA
Motorcycle,D-106,Regular,Small,0,0,90,0,15,5,KA
Truck,C-103,Express,Large,290,290,91,0,21,6,KA
Van,B-102,Regular,Medium,110,100,92,1,2,0,KA
Sedan,A-101,Express,Medium,100,100,93,0,6,1,KA
SUV,B-102,Regular,Large,130,100,66,1,11,2,KA
Bus ,C-103,Express,Large,290,290,67,0,16,3,KA
Car,A-101,Regular,Small,60,60,68,0,21,4,KA
Motorcycle,D-106,Regular,Small,0,0,69,0,2,5,KA
Truck,C-103,Regular,Large,290,100,70,1,7,6,KA
Van,B-102,Express,Medium,110,110,71,0,12,0,KA
Sedan,A-101,Regular,Medium,100,0,72,1,16,1,KA
SUV,B-102,Express,Large,130,100,73,1,22,2,KA
Bus ,C-103,Regular,Large,290,290,74,0,3,3,KA
Car,A-101,Express,Small,60,60,75,0,7,4,KA
Motorcycle,D-106,Regular,Small,0,0,76,0,12,5,KA
Truck,C-103,Express,Large,290,60,77,1,15,6,KA
Van,B-102,Regular,Medium,110,110,78,0,21,0,KA
Sedan,A-101,Express,Medium,100,100,79,0,2,1,KA
SUV,B-102,Regular,Large,130,130,80,0,6,2,KA
Bus ,C-103,Express,Large,290,100,81,1,11,3,KA
Car,A-101,Regular,Small,60,60,82,0,15,4,KA
Motorcycle,D-106,Regular,Small,0,0,83,0,20,5,KA
Truck,C-103,Regular,Large,290,290,84,0,1,6,KA
Van,B-102,Express,Medium,110,90,85,1,6,0,KA
Sedan,A-101,Regular,Medium,100,100,86,0,11,1,KA
SUV,B-102,Express,Large,130,130,40,0,15,2,KA
Bus ,C-103,Regular,Large,290,100,41,1,21,3,KA
Car,A-101,Express,Small,60,0,42,1,3,4,KA
Motorcycle,D-106,Regular,Small,0,0,43,0,7,5,KA
Truck,C-103,Express,Large,290,290,44,0,12,6,KA
Van,B-102,Regular,Medium,110,110,45,0,16,0,KA
Sedan,A-101,Express,Medium,100,100,46,0,22,1,KA
SUV,B-102,Regular,Large,130,90,47,1,4,2,KA
Bus ,C-103,Express,Large,290,60,45,1,8,3,KA
Car,A-101,Regular,Small,60,90,50,1,21,4,KA
Motorcycle,D-106,Regular,Small,0,0,55,0,11,1,KA
Truck,C-103,Regular,Large,290,290,48,0,13,2,KA
Van,B-102,Express,Medium,110,100,60,1,20,1,KA
Sedan,A-101,Regular,Medium,100,100,42,0,19,2,KA
SUV,B-102,Express,Large,130,100,57,1,8,0,KA
Bus ,C-103,Regular,Large,290,290,49,0,8,6,KA
Car,A-101,Express,Small,60,60,52,0,12,0,KA
Motorcycle,D-106,Regular,Small,0,0,46,0,0,2,KA
Truck,C-103,Express,Large,290,290,58,0,8,3,KA
Van,B-102,Regular,Medium,110,60,53,1,14,4,KA
Sedan,A-101,Express,Medium,100,60,47,1,20,5,KA
SUV,B-102,Regular,Large,130,130,51,0,3,6,KA
Bus ,C-103,Express,Large,290,290,44,0,9,0,KA
Car,A-101,Regular,Small,60,60,59,0,15,1,KA
Motorcycle,D-106,Regular,Small,0,0,54,0,22,2,KA
Truck,C-103,Regular,Large,290,290,43,0,4,3,KA
Van,B-102,Express,Medium,110,110,56,0,10,4,KA
Sedan,A-101,Regular,Medium,100,180,50,1,15,5,KA
SUV,B-102,Express,Large,130,100,45,1,21,6,KA
Bus ,C-103,Regular,Large,290,100,55,1,4,0,KA
Car,A-101,Express,Small,60,60,48,0,10,1,KA
Motorcycle,D-106,Regular,Small,0,0,60,0,16,2,KA
Truck,C-103,Express,Large,290,110,42,1,22,3,KA
Van,B-102,Regular,Medium,110,110,57,0,5,4,KA
Sedan,A-101,Express,Medium,100,100,49,0,11,5,KA
SUV,B-102,Regular,Large,130,130,52,0,17,6,KA
Bus ,C-103,Express,Large,290,290,46,0,0,0,KA
Car,A-101,Regular,Small,60,60,58,0,6,1,KA
Motorcycle,D-106,Regular,Small,0,0,53,0,11,2,KA
Truck,C-103,Regular,Large,290,290,47,0,18,3,KA
Van,B-102,Express,Medium,110,110,51,0,1,4,KA
Sedan,A-101,Regular,Medium,100,100,44,0,7,5,KA
SUV,B-102,Express,Large,130,130,59,0,13,6,KA
Bus ,C-103,Regular,Large,290,290,54,0,19,0,KA
Car,A-101,Express,Small,60,100,43,1,2,1,KA
Motorcycle,D-106,Regular,Small,0,0,56,0,8,2,KA
Truck,C-103,Express,Large,290,290,50,0,14,3,KA
Van,B-102,Regular,Medium,110,110,45,0,20,4,KA
Sedan,A-101,Express,Medium,100,60,55,1,2,5,KA
SUV,B-102,Regular,Large,130,60,48,1,8,6,KA
Bus ,C-103,Express,Large,290,290,60,0,14,0,KA
Car,A-101,Regular,Small,60,60,42,0,21,1,KA
Motorcycle,D-106,Regular,Small,0,0,57,0,3,2,KA
Truck,C-103,Regular,Large,290,290,49,0,9,3,KA
Van,B-102,Express,Medium,110,60,52,1,14,4,KA
Sedan,A-101,Regular,Medium,100,100,46,0,20,5,KA
SUV,B-102,Express,Large,130,90,58,1,3,6,KA
Bus ,C-103,Regular,Large,290,290,53,0,9,0,KA
Car,A-101,Express,Small,60,0,47,1,15,1,KA
Motorcycle,D-106,Regular,Small,0,0,51,0,21,2,KA
Truck,C-103,Express,Large,290,180,44,1,4,3,KA
Van,B-102,Regular,Medium,110,110,59,0,10,4,KA
Sedan,A-101,Express,Medium,100,100,54,0,16,5,KA
SUV,B-102,Regular,Large,130,130,43,0,22,6,KA
Bus ,C-103,Express,Large,290,290,56,0,5,0,KA
Car,A-101,Regular,Small,60,60,50,0,11,1,KA
Motorcycle,D-106,Regular,Small,0,0,45,0,17,2,KA
Truck,C-103,Regular,Large,290,110,55,1,0,3,KA
Van,B-102,Express,Medium,110,110,48,0,6,4,KA
Sedan,A-101,Regular,Medium,100,100,60,0,11,5,KA
SUV,B-102,Express,Large,130,130,42,0,18,6,KA
Bus ,C-103,Regular,Large,290,90,57,1,1,0,KA
Car,A-101,Express,Small,60,60,49,0,7,1,KA
Motorcycle,D-106,Regular,Small,0,0,52,0,13,2,KA
Truck,C-103,Express,Large,290,290,46,0,18,3,KA
Van,B-102,Regular,Medium,110,110,58,0,1,4,KA
Sedan,A-101,Express,Medium,100,100,53,0,7,5,KA
SUV,B-102,Regular,Large,130,130,47,0,13,6,KA
Bus ,C-103,Express,Large,290,290,51,0,20,0,KA
Car,A-101,Regular,Small,60,60,44,0,2,1,KA
Motorcycle,D-106,Regular,Small,0,0,59,0,8,2,KA
Truck,C-103,Regular,Large,290,290,54,0,14,3,KA
Van,B-102,Express,Medium,110,100,43,1,21,4,KA
Sedan,A-101,Regular,Medium,100,100,56,0,4,5,KA
SUV,B-102,Express,Large,130,130,50,0,9,6,KA
Bus ,C-103,Regular,Large,290,290,45,0,16,0,KA
Car,A-101,Express,Small,60,60,55,0,22,1,KA
Motorcycle,D-106,Regular,Small,0,0,48,0,5,2,KA
Truck,C-103,Express,Large,290,100,60,1,10,3,KA
Van,B-102,Regular,Medium,110,110,42,0,16,4,KA
Sedan,A-101,Express,Medium,100,100,57,0,22,5,KA
SUV,B-102,Regular,Large,130,0,49,1,5,6,KA
Bus ,C-103,Express,Large,290,130,52,1,11,0,KA
Car,A-101,Regular,Small,60,60,46,0,17,1,MH
Motorcycle,D-106,Regular,Small,0,0,58,0,0,2,AP
Truck,C-103,Regular,Large,290,60,53,1,6,3,GA
Van,B-102,Express,Medium,110,100,47,1,12,4,MH
Sedan,A-101,Regular,Medium,100,60,51,1,19,5,KA
SUV,B-102,Express,Large,130,130,44,0,2,6,KA
Bus ,C-103,Regular,Large,290,100,59,1,7,0,KA
Car,A-101,Express,Small,60,60,54,0,13,1,KA
Motorcycle,D-106,Regular,Small,0,0,43,0,19,2,AP
Truck,C-103,Express,Large,290,290,56,0,2,3,KA
Van,B-102,Regular,Medium,110,110,50,0,8,4,KA
Sedan,A-101,Express,Medium,100,100,45,0,13,5,AP
SUV,B-102,Regular,Large,130,130,55,0,20,6,AP
Bus ,C-103,Express,Large,290,290,48,0,4,0,AP
Car,A-101,Regular,Small,60,60,60,0,0,2,AP
Motorcycle,D-106,Regular,Small,0,0,40,0,8,3,AP
Truck,C-103,Regular,Large,290,290,62,0,14,4,AP
Van,B-102,Express,Medium,110,0,38,1,20,5,AP
Sedan,A-101,Regular,Medium,100,60,65,1,3,6,AP
SUV,B-102,Express,Large,130,100,42,1,9,0,AP
Bus ,C-103,Regular,Large,290,90,55,1,15,1,AP
Car,A-101,Express,Small,60,0,48,1,22,2,AP
Motorcycle,D-106,Regular,Small,0,0,50,0,4,3,AP
Truck,C-103,Express,Large,290,290,58,0,10,4,AP
Van,B-102,Regular,Medium,110,110,46,0,15,5,AP
Sedan,A-101,Express,Medium,100,100,53,0,21,6,AP
SUV,B-102,Regular,Large,130,130,47,0,4,0,AP
Bus ,C-103,Express,Large,290,290,51,0,10,1,AP
Car,A-101,Regular,Small,60,60,44,0,16,2,AP
Motorcycle,D-106,Regular,Small,0,0,59,0,22,3,AP
Truck,C-103,Regular,Large,290,60,54,1,5,4,AP
Van,B-102,Express,Medium,110,110,43,0,11,5,AP
Sedan,A-101,Regular,Medium,100,100,56,0,17,6,AP
SUV,B-102,Express,Large,130,130,52,0,0,0,AP
Bus ,C-103,Regular,Large,290,290,45,0,6,1,AP
Car,A-101,Express,Small,60,60,57,0,11,2,AP
Motorcycle,D-106,Regular,Small,0,0,49,0,18,3,AP
Truck,C-103,Express,Large,290,290,60,0,1,4,AP
Van,B-102,Regular,Medium,110,110,41,0,7,5,AP
Sedan,A-101,Express,Medium,100,60,63,1,13,6,AP
SUV,B-102,Regular,Large,130,130,39,0,19,0,AP
Bus ,C-103,Express,Large,290,290,66,0,2,1,AP
Car,A-101,Regular,Small,60,60,43,0,8,2,AP
Motorcycle,D-106,Regular,Small,0,0,61,0,14,3,AP
Truck,C-103,Regular,Large,290,290,37,0,20,4,AP
Van,B-102,Express,Medium,110,110,54,0,2,5,AP
Sedan,A-101,Regular,Medium,100,100,46,0,8,6,AP
SUV,B-102,Express,Large,130,110,55,1,14,0,AP
Bus ,C-103,Regular,Large,290,60,49,1,21,1,AP
Car,A-101,Express,Small,60,60,60,0,3,2,AP
Motorcycle,D-106,Regular,Small,0,0,42,0,9,3,AP
Truck,C-103,Express,Large,290,70,57,1,14,4,AP
Van,B-102,Regular,Medium,110,110,48,0,20,5,AP
Sedan,A-101,Express,Medium,100,100,52,0,3,6,AP
SUV,B-102,Regular,Large,130,130,45,0,9,0,AP
Bus ,C-103,Express,Large,290,290,59,0,15,1,AP
Car,A-101,Regular,Small,60,60,53,0,21,2,AP
Motorcycle,D-106,Regular,Small,0,0,47,0,4,3,AP
Truck,C-103,Regular,Large,290,290,51,0,10,4,AP
Van,B-102,Express,Medium,110,110,44,0,16,5,AP
Sedan,A-101,Regular,Medium,100,60,58,1,22,6,AP
SUV,B-102,Express,Large,130,0,54,1,5,0,GA
Bus ,C-103,Regular,Large,290,290,43,0,11,1,GA
Car,A-101,Express,Small,60,60,56,0,17,2,GA
Motorcycle,D-106,Regular,Small,0,0,50,0,0,3,GA
Truck,C-103,Express,Large,290,60,45,1,6,4,GA
Van,B-102,Regular,Medium,110,0,55,1,11,5,GA
Sedan,A-101,Express,Medium,100,100,48,0,18,6,GA
SUV,B-102,Regular,Large,130,130,60,0,1,0,GA
Bus ,C-103,Express,Large,290,100,42,1,7,1,GA
Car,A-101,Regular,Small,60,60,57,0,13,2,GA
Motorcycle,D-106,Regular,Small,0,0,49,0,18,3,GA
Truck,C-103,Regular,Large,290,290,52,0,1,4,GA
Van,B-102,Express,Medium,110,100,46,1,7,5,GA
Sedan,A-101,Regular,Medium,100,100,58,0,13,6,GA
SUV,B-102,Express,Large,130,130,53,0,20,0,GA
Bus ,C-103,Regular,Large,290,290,47,0,2,1,GA
Car,A-101,Express,Small,60,60,51,0,8,2,GA
Motorcycle,D-106,Regular,Small,0,0,44,0,14,3,GA
Truck,C-103,Express,Large,290,90,59,1,21,4,GA
Van,B-102,Regular,Medium,110,110,54,0,4,5,GA
Sedan,A-101,Express,Medium,100,100,43,0,9,6,GA
SUV,B-102,Regular,Large,130,100,56,1,16,0,GA
Bus ,C-103,Express,Large,290,100,50,1,22,1,GA
Car,A-101,Regular,Small,60,60,45,0,5,2,GA
Motorcycle,D-106,Regular,Small,0,0,55,0,10,3,GA
Truck,C-103,Regular,Large,290,290,48,0,16,4,GA
Van,B-102,Express,Medium,110,100,60,1,22,5,GA
Sedan,A-101,Regular,Medium,100,100,42,0,5,6,GA
SUV,B-102,Express,Large,130,130,57,0,11,0,GA
Bus ,C-103,Regular,Large,290,90,49,1,17,1,KA
Car,A-101,Express,Small,60,0,52,1,0,2,KA
Motorcycle,D-106,Regular,Small,0,0,46,0,6,3,KA
Truck,C-103,Express,Large,290,290,58,0,12,4,KA
Van,B-102,Regular,Medium,110,110,53,0,19,5,KA
Sedan,A-101,Express,Medium,100,100,47,0,2,6,KA
SUV,B-102,Regular,Large,130,130,51,0,7,0,KA
Bus ,C-103,Express,Large,290,290,44,0,13,1,KA
Car,A-101,Regular,Small,60,60,59,0,19,2,KA
Motorcycle,D-106,Regular,Small,0,0,54,0,2,3,KA
Truck,C-103,Regular,Large,290,100,43,1,8,4,KA
Van,B-102,Express,Medium,110,110,56,0,13,5,KA
Sedan,A-101,Regular,Medium,100,0,50,1,20,6,KA
SUV,B-102,Express,Large,130,130,45,0,4,0,KA
Bus ,C-103,Regular,Large,290,290,55,0,21,4,KA
Car,A-101,Express,Small,60,60,48,0,8,5,KA
Motorcycle,D-106,Regular,Small,0,0,60,0,19,2,KA
Truck,C-103,Express,Large,290,100,42,1,8,6,KA
Van,B-102,Regular,Medium,110,90,57,1,13,2,KA
Sedan,A-101,Express,Medium,100,100,49,0,4,0,KA
SUV,B-102,Regular,Large,130,130,52,0,8,5,KA
Bus ,C-103,Express,Large,290,90,46,1,8,0,KA
Car,A-101,Regular,Small,60,60,58,0,0,3,KA
Motorcycle,D-106,Regular,Small,0,0,53,0,2,3,KA
Truck,C-103,Regular,Large,290,90,47,1,4,6,KA
Van,B-102,Express,Medium,110,60,20,1,6,5,KA
Sedan,A-101,Regular,Medium,100,100,21,0,9,6,KA
SUV,B-102,Express,Large,130,130,22,0,11,0,KA
Bus ,C-103,Regular,Large,290,90,23,1,13,0,KA
Car,A-101,Express,Small,60,60,24,0,15,1,KA
Motorcycle,D-106,Regular,Small,0,0,25,0,18,2,KA
Truck,C-103,Express,Large,290,290,26,0,20,2,AP
Van,B-102,Regular,Medium,110,110,27,0,22,3,AP
Sedan,A-101,Express,Medium,100,100,28,0,0,4,AP
SUV,B-102,Regular,Large,130,130,29,0,3,0,AP
Bus ,C-103,Express,Large,290,290,30,0,5,6,AP
Car,A-101,Regular,Small,60,60,31,0,7,0,KA
Motorcycle,D-106,Regular,Small,0,0,32,0,9,1,KA
Truck,C-103,Regular,Large,290,290,33,0,12,1,KA
Van,B-102,Express,Medium,110,100,34,1,14,2,KA
Sedan,A-101,Regular,Medium,100,100,35,0,16,3,KA
SUV,B-102,Express,Large,130,130,36,0,18,3,KA
Bus ,C-103,Regular,Large,290,290,37,0,21,4,KA
Car,A-101,Express,Small,60,100,38,1,23,5,KA
Motorcycle,D-106,Regular,Small,0,0,39,0,1,1,KA
Truck,C-103,Express,Large,290,290,65,0,3,0,KA
Van,B-102,Regular,Medium,110,90,76,1,6,1,KA
Sedan,A-101,Express,Medium,100,100,89,0,8,2,KA
SUV,B-102,Regular,Large,130,130,45,0,10,2,KA
Bus ,C-103,Express,Large,290,290,56,0,12,3,KA
Car,A-101,Regular,Small,60,60,67,0,15,4,KA
Motorcycle,D-106,Regular,Small,0,0,87,0,17,4,KA
Truck,C-103,Regular,Large,290,290,45,0,19,5,KA
Van,B-102,Express,Medium,110,110,34,0,21,6,KA
Sedan,A-101,Regular,Medium,100,100,78,0,0,3,KA
SUV,B-102,Express,Large,130,130,45,0,2,2,KA
Bus ,C-103,Regular,Large,290,100,87,1,4,3,KA
Car,A-101,Express,Small,60,0,66,1,6,4,KA
Motorcycle,D-106,Regular,Small,0,0,89,0,9,4,KA
Truck,C-103,Express,Large,290,290,65,0,11,5,KA
Van,B-102,Regular,Medium,110,110,34,0,13,6,KA
Sedan,A-101,Express,Medium,100,100,98,0,15,6,KA
SUV,B-102,Regular,Large,130,110,22,1,18,0,KA
Bus ,C-103,Express,Large,290,100,23,1,20,6,KA
Car,A-101,Regular,Small,60,60,10,0,22,4,KA
Motorcycle,D-106,Regular,Small,0,0,67,0,0,4,KA
Truck,C-103,Regular,Large,290,290,87,0,3,5,KA
Van,B-102,Express,Medium,110,110,65,0,5,6,KA
Sedan,A-101,Regular,Medium,100,100,34,0,7,6,KA
SUV,B-102,Express,Large,130,100,87,1,9,0,KA
Bus ,C-103,Regular,Large,290,290,35,0,12,1,KA
Car,A-101,Express,Small,60,60,32,0,14,1,KA
Motorcycle,D-106,Regular,Small,0,0,76,0,16,2,KA
Truck,C-103,Express,Large,290,290,34,0,18,1,KA
Van,B-102,Regular,Medium,110,60,65,1,21,2,KA
Sedan,A-101,Express,Medium,100,60,23,1,23,2,KA
SUV,B-102,Regular,Large,130,130,65,0,1,4,KA
Bus ,C-103,Express,Large,290,290,34,0,3,4,KA
Car,A-101,Regular,Small,60,60,76,0,6,5,KA
Motorcycle,D-106,Regular,Small,0,0,45,0,8,6,KA
Truck,C-103,Regular,Large,290,290,67,0,10,0,KA
Van,B-102,Express,Medium,110,110,45,0,12,0,KA
Sedan,A-101,Regular,Medium,100,90,76,1,15,1,KA
SUV,B-102,Express,Large,130,130,45,0,17,1,KA
Bus ,C-103,Regular,Large,290,90,76,1,19,3,KA
Car,A-101,Express,Small,60,60,45,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,76,0,0,5,KA
Truck,C-103,Express,Large,290,290,45,0,2,6,KA
Van,B-102,Regular,Medium,110,100,65,1,4,6,KA
Sedan,A-101,Express,Medium,100,100,98,0,6,0,KA
SUV,B-102,Regular,Large,130,130,76,0,9,1,KA
Bus ,C-103,Express,Large,290,290,65,0,11,1,KA
Car,A-101,Regular,Small,60,60,88,0,13,2,KA
Motorcycle,D-106,Regular,Small,0,0,76,0,15,2,KA
Truck,C-103,Regular,Large,290,290,56,0,18,5,KA
Van,B-102,Express,Medium,110,110,86,0,20,4,KA
Sedan,A-101,Regular,Medium,100,90,98,1,22,5,KA
SUV,B-102,Express,Large,130,130,67,0,0,0,KA
Bus ,C-103,Regular,Large,290,290,98,0,3,0,KA
Car,A-101,Express,Small,60,0,67,1,5,1,KA
Motorcycle,D-106,Regular,Small,0,0,56,0,7,2,KA
Truck,C-103,Express,Large,290,0,87,1,9,2,KA
Van,B-102,Regular,Medium,110,110,56,0,12,3,KA
Sedan,A-101,Express,Medium,100,100,87,0,14,3,KA
SUV,B-102,Regular,Large,130,130,67,0,16,6,KA
Bus ,C-103,Express,Large,290,290,76,0,18,5,KA
Car,A-101,Regular,Small,60,60,56,0,21,6,KA
Motorcycle,D-106,Regular,Small,0,0,98,0,23,1,KA
Truck,C-103,Regular,Large,290,290,56,0,1,2,KA
Van,B-102,Express,Medium,110,60,45,1,3,3,KA
Sedan,A-101,Regular,Medium,100,90,55,1,6,4,KA
SUV,B-102,Express,Large,130,130,76,0,8,4,KA
Bus ,C-103,Regular,Large,290,290,45,0,10,5,KA
Car,A-101,Express,Small,60,60,76,0,12,6,KA
Motorcycle,D-106,Regular,Small,0,0,45,0,0,3,KA
Truck,C-103,Express,Large,290,290,76,0,2,3,KA
Van,B-102,Regular,Medium,110,110,90,0,4,6,KA
Sedan,A-101,Express,Medium,100,90,78,1,6,5,KA
SUV,B-102,Regular,Large,130,100,76,1,9,6,KA
Bus ,C-103,Express,Large,290,290,89,0,11,0,KA
Car,A-101,Regular,Small,60,60,90,0,13,0,KA
Motorcycle,D-106,Regular,Small,0,0,80,0,15,1,KA
Truck,C-103,Regular,Large,290,290,70,0,18,2,KA
Van,B-102,Express,Medium,110,110,60,0,20,2,KA
Sedan,A-101,Regular,Medium,100,60,56,1,22,3,KA
SUV,B-102,Express,Large,130,130,45,0,0,4,KA
Bus ,C-103,Regular,Large,290,290,55,0,3,0,KA
Car,A-101,Express,Small,60,90,65,1,5,6,KA
Motorcycle,D-106,Regular,Small,0,0,76,0,7,0,KA
Truck,C-103,Express,Large,290,290,87,0,9,1,KA
Van,B-102,Regular,Medium,110,110,98,0,12,1,KA
Sedan,A-101,Express,Medium,100,100,45,0,14,2,KA
SUV,B-102,Regular,Large,130,130,35,0,16,3,KA
Bus ,C-103,Express,Large,290,90,24,1,18,3,KA
Car,A-101,Regular,Small,60,60,25,0,21,4,KA
Motorcycle,D-106,Regular,Small,0,0,77,0,23,5,KA
Truck,C-103,Regular,Large,290,290,78,0,1,1,KA
Van,B-102,Express,Medium,110,110,90,0,3,0,KA
Sedan,A-101,Regular,Medium,100,100,89,0,6,1,KA
SUV,B-102,Express,Large,130,130,85,0,8,2,KA
Bus ,C-103,Regular,Large,290,290,65,0,10,2,KA
Car,A-101,Express,Small,60,60,45,0,12,3,KA
Motorcycle,D-106,Regular,Small,0,0,65,0,15,4,KA
Truck,C-103,Express,Large,290,290,45,0,17,4,KA
Van,B-102,Regular,Medium,110,110,76,0,19,5,KA
Sedan,A-101,Express,Medium,100,90,45,1,21,6,KA
SUV,B-102,Regular,Large,130,100,77,1,0,3,KA
Bus ,C-103,Express,Large,290,290,88,0,2,2,KA
Car,A-101,Regular,Small,60,0,23,1,4,3,KA
Motorcycle,D-106,Regular,Small,0,0,34,0,6,4,KA
Truck,C-103,Regular,Large,290,60,65,1,9,4,KA
Van,B-102,Express,Medium,110,110,45,0,11,5,KA
Sedan,A-101,Regular,Medium,100,100,76,0,13,6,KA
SUV,B-102,Express,Large,130,130,54,0,15,6,KA
Bus ,C-103,Regular,Large,290,100,66,1,18,0,KA
Car,A-101,Express,Small,60,60,66,0,20,6,KA
Motorcycle,D-106,Regular,Small,0,0,55,0,22,4,KA
Truck,C-103,Express,Large,290,290,77,0,0,4,KA
Van,B-102,Regular,Medium,110,110,44,0,3,5,KA
Sedan,A-101,Express,Medium,100,100,60,0,5,6,KA
SUV,B-102,Regular,Large,130,90,70,1,7,6,KA
Bus ,C-103,Express,Large,290,290,77,0,9,0,KA
Car,A-101,Regular,Small,60,60,55,0,12,1,KA
Motorcycle,D-106,Regular,Small,0,0,65,0,14,1,KA
Truck,C-103,Regular,Large,290,290,75,0,16,2,KA
Van,B-102,Express,Medium,110,90,85,1,18,1,KA
Sedan,A-101,Regular,Medium,100,100,95,0,21,2,KA
SUV,B-102,Express,Large,130,130,90,0,23,2,KA
Bus ,C-103,Regular,Large,290,100,88,1,1,4,KA
Car,A-101,Express,Small,60,60,90,0,3,4,KA
Motorcycle,D-106,Regular,Small,0,0,90,0,6,5,KA
Truck,C-103,Express,Large,290,290,78,0,8,6,KA
Van,B-102,Regular,Medium,110,90,78,1,10,0,KA
Sedan,A-101,Express,Medium,100,100,89,0,12,0,KA
SUV,B-102,Regular,Large,130,130,99,0,15,1,KA
Bus ,C-103,Express,Large,290,110,98,1,17,1,KA
Car,A-101,Regular,Small,60,60,76,0,19,3,KA
Motorcycle,D-106,Regular,Small,0,0,68,0,21,3,KA
Truck,C-103,Regular,Large,290,290,45,0,0,5,KA
Van,B-102,Express,Medium,110,0,23,1,2,6,KA
Sedan,A-101,Regular,Medium,100,60,35,1,4,6,KA
SUV,B-102,Express,Large,130,130,75,0,6,0,KA
Bus ,C-103,Regular,Large,290,290,80,0,9,1,KA
Car,A-101,Express,Small,60,100,88,1,11,1,KA
Motorcycle,D-106,Regular,Small,0,0,76,0,13,2,KA
Truck,C-103,Express,Large,290,90,75,1,15,2,KA
Van,B-102,Regular,Medium,110,110,46,0,18,5,KA
Sedan,A-101,Express,Medium,100,100,47,0,20,4,KA
SUV,B-102,Regular,Large,130,110,89,1,22,5,KA
Bus ,C-103,Express,Large,290,290,90,0,0,0,KA
Car,A-101,Regular,Small,60,60,87,0,3,0,KA
Motorcycle,D-106,Regular,Small,0,0,96,0,5,1,KA
Truck,C-103,Regular,Large,290,100,67,1,7,2,KA
Van,B-102,Express,Medium,110,110,65,0,9,2,KA
